ID,Name,Sinhala Name,Author,Author Sinhala Name,Translator,Translator Sinhala Name,Language,Category,Tags
1338,"Shosha","ෂෝෂා","Isaac Bashewis Singer","අයිසැක් බැෂෙවිස් සිංගර්","Gamini Viyangoda","ගාමිණී වියන්ගොඩ","Sinhala","English Translation Novel",""
1337,"Mage Divi Satana","මගේ දිවි සටන","Yeonmi Park","යොන්මි පාර්ක්","Chulananda Samaranayaka","චූලානන්ද සමරනායක","Sinhala","English Translation Novel",""
1336,"Nelawili Geeyak","නැළවිලි ගීයක්","Leila Slimani","ලීලා ස්ලිමානි","Niml Somarathna","නිමල් සෝමරත්න","Sinhala","French Translation",""
1335,"Kabul Nuwara Wehilihiniya","කාබුල් නුවර වැහිළිහිණියා","Yasmina Kaadra","යස්මීනා ඛද්රා","Achini Dilshani Nakandala","අචිනි දිල්ෂානි නකන්දල","Sinhala","African Translation",""
1334,"Adbootha Aganthukaya","අද්භූත ආගන්තුකයා","H,G, Wells","එච්.ජී. වේල්ස්","Sugath Kankanamge","සුගත් කන්කානම්ගේ","Sinhala","English Translation Novel",""
1333,"Punchi Loke","පුංචි ලෝකෙ","Martin Suter","මාටින් සූටර්","Maheshi Weerakoon","මහේෂි වීරකෝන්","Sinhala","English Translation Novel",""
1332,"Gorio Appachchi","ගෝරියෝ අප්පච්චි","Honore De Balzac","ඔනෝරේ ද බල්සැක්","Premasiri Mahingoda","ප්‍රේමසිරි මහංගොඩ","Sinhala","French Translation",""
1331,"Re Matha","රෑ මැද","Kurt Vonnegut","කර්ට් වොනගට්","Gamini Viyangoda","ගාමිණී වියන්ගොඩ","Sinhala","English Translation Novel",""
1330,"Pretha Duthiyika","ප්‍රේත දූතියිකා","Manoj Prasanna Rathnayaka","මනෝජ් ප්‍රසන්න රත්නායක","","","Sinhala","Science Fiction",""
1329,"Awasan Nirmanaya","අවසන් නිර්මාණය","Chinthaka Widanapathirana","Chinthaka Widanapathirana","","","Sinhala","Science Fiction",""
1328,"South Town","සවුත් ටවුන්","Lorenz Graham","ලෝරන්ස් ග්‍රැහැම්","Anura K Edirisuriya","අනුර කේ. එදිරිසූරිය","Sinhala","English Translation Novel",""
1327,"Silkage Divi Seriya","සිල්කාගේ දිවි සැරිය","Heather Morris","හෙදර් මොරිස්","Chandana Gunasekara","චන්දන ගුණසේකර","Sinhala","English Translation Novel",""
1326,"Negenahira Sulanga Sherlok Holms","නැගෙනහිර සුළඟ: ෂර්ලොක් හෝම්ස්","Susitha Ruwan","Susitha Ruwan","","","Sinhala","Sinhala Novel",""
1325,"Ninnada","නින්නාදය","Wilbur Smith","විල්බර් ස්මිත්","Chithra.I.Perera","චිත්‍රා අයි. පෙරේරා","Sinhala","English Translation Novel",""
1324,"Midee Marukatharin","මිදී මරුකතරින්","Beverly Naidu","බෙවර්ලි නායිදු","Chulananda Samaranayaka","චූලානන්ද සමරනායක","Sinhala","African Translation",""
1323,"Nohelaw Eka RuhiruBindak","නොහෙළව එක රුහිරු බින්දක්","Mikhailo Stelmaw","මයිකයිලෝ ස්ටෙල්මාක්","Merlin Sunethra Chandrarathna","මෙර්ලින් සුනෙත්‍රා චන්ද්‍රරත්න","Sinhala","Russian Translation Novel",""
1322,"Pematho Jayathi Soko","පේමතෝ ජායතී සෝකෝ","Leo Tholsthoi","ලියෝ ටෝල්ස්ටෝයි","Cyril C Perera","සිරිල් සී. පෙරේරා","Sinhala","Russian Translation Novel",""
1321,"Sammy Ge Kathawa","සැමීගේ කතාව","Elmo Jayawardana","එල්මෝ ජයවර්ධන","Sisil Rudrigo","සිසිල් රුද්‍රිගෝ","Sinhala","English Translation Novel",""
1320,"Uwa Nam Minisa","ඌව් නම් මිනිසා","Fedrick Backman","ෆෙඩ්රික් බක්මන්","Ganga Niroshini Suduwelikanda","ගංගා නිරෝෂිණී සුදුවැලිකන්ද","Sinhala","English Translation Novel",""
1319,"Clipton Cronical   7","Clipton Cronical   7","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel","Novel"
1318,"Clipton Cronical   6+","Clipton Cronical   6+","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel","Novel"
1317,"Susum Maruthe","සුසුම් මාරුතේ","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel",""
1316,"Kandulu Siththama","කඳුළු සිත්තම","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel",""
1315,"Sureki Rahasa","සුරැකි රහස","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel",""
1314,"Piyage Papayo","පියාගේ පාපයෝ","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel",""
1313,"Kalaya Indura Pawasawi","කාලය ඉඳුරා පවසාවි","Jeffrey Archer","ජෙෆ්රි ආචර්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel",""
1312,"Igilennata Sihina Dakimi","ඉගිලෙන්නට සිහින දකිමි","Sun Mi Hwang","සුන්-මී හ්වං","D.M.S.Ariyarathna","ද.ම.ස. ආරියරත්න","Sinhala","English Translation Novel",""
1311,"Sayanasana","සයනාසනය","Robert Bloch","රොබට් බ්ලොක්","Senarathna Weerasinghe","සෙනරත්න වීරසිංහ","Sinhala","English Translation Novel",""
1310,"Gelawumkara Isiwaraya","ගැලවුම්කාර ඉසිවරයා","Gor Vidhal","ගෝර් විඩාල්","Gamini Viyangoda","ගාමිණී වියන්ගොඩ","Sinhala","English Translation Novel",""
1309,"Matin Retler","මාටින් රෙට්ලර්","R.M.Ballantyne","ආර්.එම්. බැලන්ටයින්","Kumara Siriwardana","කුමාර සිරිවර්ධන","Sinhala","English Translation Novel",""
1308,"Samurai Ranabima","සාමුරායි රණබිම","Eiji Yoshikawa","ඔයිජි යොෂිකාවා","Senarathna Weerasinghe","සෙනරත්න වීරසිංහ","Sinhala","Japan Translation",""
1307,"Kaleka owuhuda Minsunwa Sitiyoya","කලෙක ඔවුහුද මිනිසුන්ව සිටියෝය","Maxim Gorky","මැක්සිම් ගෝර්කි","Chulananda Samaranayaka","චූලානන්ද සමරනායක","Sinhala","Russian Translation Short Stories",""
1306,"Miyuru Handa","මියුරු හඬ","","Sunethra Rajakarunanayaka","Sunethra Rajakarunanayaka","සුනේත්‍රා රාජකරුණානායක","Sinhala","Sinhala Novel",""
1305,"Maga Herunu Doopath","මග හැරුණු දූපත්","","Prabhath Jayasinghe","Prabhath Jayasinghe","ප්‍රභාත් ජයසිංහ","Sinhala","Sinhala Novel",""
1304,"Duumalawanyagaraya","දූමාලාවණ්‍යාගාරය","Ruwan Bandujeewa","රුවන් බන්ධුජීව","","","Sinhala","Poetry",""
1303,"Shapeksha","සාපේක්ෂ","","Chinthaka Widanapathirana","Chinthaka Widanapathirana","චින්තක විදානපතිරණ","Sinhala","Science Fiction",""
1302,"Atakama  2","අටකාමා 2","Manjula Ravishantha","මංජුල රවිශාන්ත","","","Sinhala","Science Fiction",""
1301,"Atakama Wiplawaya","අටකාමා විප්ලවය","Manjula Ravishantha","මංජුල රවිශාන්ත","","","Sinhala","Science Fiction",""
1300,"400 Days","400 ඩේස්","Chetan Bhagat","චේතන් බුගේත්","","","English","Other",""
1299,"Dosthara Shivago","දොස්තර ෂිවාගෝ","Boris Pasternak","බොරිස් පැස්ටර්නැක්","Badraji Mahinda Jayathilaka","භද්‍රජී මහින්ද ජයතිලක","Sinhala","Russian Translation Novel",""
1298,"Golowulyovu Pawule Kathantharaya","ගොලොව්ලියෝව් පවුලේ කතන්දරය","Saltykov Shedrin","මිහායිල් සැල්ටිකොව්-ෂෙඩ්රින්","Ananda Amarasiri","ආනන්ද අමරසිරි","Sinhala","Russian Translation Novel",""
1297,"Thidena","තිදෙනා","Maxim Gorky","මැක්සිම් ගෝර්කි","Chulananda Samaranayaka","චූලානන්ද සමරනායක","Sinhala","Russian Translation Novel",""
1296,"Epal Gedi Thunak Ahasin Wetuna","ඇපල් ගෙඩි තුනක් අහසින් වැටුණා","Narine Abgaryan","නරින් අබ්ගර්යන්","K.D.Chandrasiri","කේ.ඩී. චන්ද්‍රසිරි","Sinhala","Russian Translation Novel",""
1295,"Kunatuwen Upathaladdo","කුණාටුවෙන් උපන්ලද්දෝ","Nikolai Ostrovsky","නිකොලායි ඔස්ත්‍රොව්ස්කි","Ranjana Dewamithra","රංජන දේවමිත්‍ර","Sinhala","Russian Translation Novel",""
1294,"Newum Pasa","නැවුම් පස","Ivan Thurginip","අයිවන් තුර්ගේනෙව්","Ananda Amarasiri","ආනන්ද අමරසිරි","Sinhala","Russian Translation Novel",""
1293,"Ena Keranina","Ena Keranina","Leo Tolstoy","ලියෝ ටෝල්ස්ටෝයි","Swarnakanthi Rajapaksa","ස්වර්ණකාන්ති රාජපක්ෂ","Sinhala","Russian Translation Novel","Novel"
1292,"Mulkawaya   2","මුල්කාවය 2","Aleksandr Isayevich","ඇලෙක්සැන්ඩර් සොල්සෙනිට්සින්","W.A.Abeysingha","ඩබ්ලිව්.ඒ. අබේසිංහ","Sinhala","Russian Translation Novel",""
1291,"Mulkawaya  1","මුල්කාවය 1","Aleksandr Isayevich","ඇලෙක්සැන්ඩර් සොල්සෙනිට්සින්","W.A.Abeysingha","ඩබ්ලිව්.ඒ. අබේසිංහ","Sinhala","Russian Translation Novel",""
1290,"Dadayamkaruwo","දඩයම්කරුවෝ","Anton Chekhov","ඇන්ටන් චෙකොව්","Ananda Amarasiri","ආනන්ද අමරසිරි","Sinhala","Russian Translation Novel",""
1289,"Mage Janaral","මගේ ජනරාල්","Elbert Lihanov","ඇල්බට් ලිකානොව්","Mahinda Senarath Gamage","මහින්ද සෙනරත් ගමගේ","Sinhala","Russian Translation Novel",""
1288,"Idama Ha Thanahawa","ඉඩම හා තණ්හාව","","ලියෝ ටෝල්ස්ටෝයි","Justin Wijayawardana","ජස්ටින් විජයවර්ධන","Sinhala","Russian Translation Short Stories",""
1287,"Dewana Padanama","දෙවන පදනම","Isaac Asimov","අයිසැක් ඇසිමොව්","S.M. Banduseela","එස්.එම්. බන්දුසීල","Sinhala","Science Fiction",""
1286,"Kodon","කෝඩෝන්","Sinera Ridmika","සිනෙරා රිද්මික","","","Sinhala","Science Fiction",""
1285,"Sahasra Meheyuma","සහස්‍ර මෙහෙයුම","Ayodya Sonali","අයෝධ්‍යා සොනාලි","","","Sinhala","Science Fiction",""
1284,"Nawa Padanama Saha Adhirajya","නව පදනම සහ අධිරාජ්‍යය","Isaac Asimov","අයිසැක් ඇසිමොව්","S.M. Banduseela","එස්.එම්. බන්දුසීල","Sinhala","Science Fiction",""
1283,"Aebinol","ඒබිනෝල්","Sameera Madushanka","සමීරා මධුෂංක","","","Sinhala","Science Fiction",""
1282,"Wachana 100 Widya Prabanda","වචන 100 විද්‍යා ප්‍රබන්ධ","","","","","Sinhala","Science Fiction",""
1281,"Dewaduthayange Kerella","දේවදූතයන්ගේ කෙරැල්ල","Anatole France","ඇනටෝල් ප්‍රාන්ස්","T. Andradi","ටී. අන්ද්‍රාදි","Sinhala","French Translation",""
1280,"Mathaka Polisiya","මතක පොලිසිය","Yoko Ogawa / StephenSnyder","යොකෝ ඔගාවා","Hasitha Abeywardana","හෂිත අබේවර්ධන","Sinhala","Japan Translation",""
1279,"Dakunu Mayime","දකුණු මායිමේ (South of the Border","Haruki Murakami","Haruki Murakami","Indika Gunawardana","Indika Gunawardena","Sinhala","Japan Translation",""
1278,"Sulangin Wetunu Path","සුළඟින් වැටුණු පත්","Adeline Yen Mah","ඇඩලින් යෙන් මහ්","Susantha Kodithuwakku","සුසන්ත කොඩිතුවක්කු","Sinhala","Chinese Translation",""
1277,"Nimanage Ithihasaya","නිමානගේ ඉතිහාසය","Kaushalya kumarasinghe","කෞෂල්‍ය කුමාරසිංහ","","","Sinhala","Sinhala Novel",""
1276,"Uthpaththi","උත්පත්ති","Keerthi Welisarage","කීර්ති වැලිසරගේ","","","Sinhala","Sinhala Novel",""
1275,"Jerusalem Duwaruni","ජෙරුසලමේ දුවරුණි","Tharangani Rashika Fernando","තරංගනී රෂිකා ප්‍රනාන්දු","","","Sinhala","Sinhala Novel",""
1274,"Eetha Dura Eetha","ඈත දුර ඈත","Ganga Niroshini Suduwelikanda","ගංගා නිරෝෂිණී සුඩුවැලිකන්ද","","","Sinhala","Other",""
1273,"Alipelessa","අලිපෙල්ලැස්ස","Dinesh Gunathilaka","දිනේෂ් ගුණතිලක","","","Sinhala","Sinhala Novel",""
1272,"Madolduwa","මඩොල් දූව","Martin wickramasingha","මාර්ටින් වික්‍රමසිංහ","","","Sinhala","Children Sinhala",""
1271,"Suwa Asapuwa","සුව අසපුව","Jayasena Jayakody","ජයසේන ජයකොඩි","","","Sinhala","Sinhala Novel",""
1270,"Kasawatha Gena Kathawak","කසාවත ගැන කතාවක්","Samarasinghe Gunasekara","සමරසිංහ ගුණසේකර","","","Sinhala","Sinhala Novel",""
1269,"Makaranandaya","මකරානන්දය","Wirajini Thennakoon","විරාජිනී තැන්නකෝන්","","","Sinhala","Sinhala Novel",""
1268,"Kadadora","කඩදොර","Manihari Jayalath","මනෝහාරි ජයලත්","","","Sinhala","Sinhala Novel",""
1267,"Kukulek Athingath Kikili","කුකුළෙක් අතින් ගත් කිකිළි","Manjula Wediwardana","මංජුල වෙඩිවර්ධන","","","Sinhala","Sinhala Novel",""
1266,"Meyi Mara Prasangaya","මැයි මාර ප්‍රසංගය","Mahinda Prasad Masimbula","මහින්ද ප්‍රසාද මසිඹුල","","","Sinhala","Sinhala Novel",""
1265,"Kalu Kirilli","කළු කිරිල්ලී","Nissanka Wijerathna","නිශ්ශංක විජේරත්න","","","Sinhala","Sinhala Short Stories",""
1264,"Es","ඇස්","Jayathilaka Kammellaweera","ජයතිලක කම්මැල්ලවීර","","","Sinhala","Sinhala Short Stories",""
1263,"Ran Muthu Arama","රන් මුතු අරම","Jayasena Jayakody","ජයසේන ජයකොඩි","","","Sinhala","Sinhala Novel",""
1262,"Asiri Sirini","අසිරි සිරිනි","","චිත්‍රා අයි. පෙරේරා","Chithra.I.Perera","චිත්‍රා අයි. පෙරේරා","Sinhala","Other",""
1261,"Tin Tin Saha Pikaros","ටින්ටින් සහ පිකරෝස්","Herji","හර්ජ්","Samantha Indeewara","සමන්ත ඉන්දීවර","Sinhala","English Translation Children",""
1260,"Tin Tin ge Wickrama Tin Tin saha Morunge Wila","Tin Tin ge Wickrama Tin Tin saha Morunge Wila","Herji","හර්ජ්","Samantha Indeewara","සමන්ත ඉන්දීවර","Sinhala","English Translation Children",""
1259,"Tin Tin ge Wickrama Soviet Deshaye","Tin Tin ge Wickrama Soviet Deshaye","Herji","හර්ජ්","Samantha Indeewara","සමන්ත ඉන්දීවර","Sinhala","English Translation Children",""
1258,"Tin Tin ge Wickrama Kalu Divayina","Tin Tin ge Wickrama Kalu Divayina","Herji","හර්ජ්","Samantha Indeewara","සමන්ත ඉන්දීවර","Sinhala","English Translation Children",""
1257,"Tin Tin ge Wickrama Sanda Gaweshakayo","Tin Tin ge Wickrama Sanda Gaweshakayo","Herji","හර්ජ්","Samantha Indeewara","සමන්ත ඉන්දීවර","Sinhala","English Translation Children",""
1256,"Tin Tin ge Wickrama Sanda Gamana","Tin Tin ge Wickrama Sanda Gamana","Herji","හර්ජ්","Samantha Indeewara","සමන්ත ඉන්දීවර","Sinhala","English Translation Children",""
1255,"Sahaja Urumaya","සහජ උරුමය","","Bobby G. Botheju","Bobby G Botheju","බොබි ජී.බොතේජු","Sinhala","Science Fiction",""
1254,"Sanoran Abhirahasa","සනෝරන් අබිරහස","Shiromala S Weerasinghe","ශිරෝමාලා එස්. වීරසිංහ","","","Sinhala","Sinhala Novel",""
1253,"Sese","සෙසේ","Prasad Samarasekara","ප්‍රසාද සමරසේකර","","","Sinhala","Children Sinhala",""
1252,"Dombagala Nidhanaya","දොඹගල නිධානය","Badraji Mahinda Jayathilaka","භද්‍රජී මහින්ද ජයතිලක","","","Sinhala","Children Sinhala",""
1251,"Koti Dadayama","කොටි දඩයම","Gunasekara Gunasoma","ගුණසේකර ගුණසෝම","","","Sinhala","Sinhala Novel",""
1250,"Sinha Raaja Dadayama","සිංහ රාජ දඩයම","Badraji Mahinda Jayathilaka","භද්‍රජී මහින්ද ජයතිලක","","","Sinhala","Children Sinhala",""
1249,"Nihanda Kala Handa","නිහඬ කළ හඬ","Prabath Chinthaka Meegodage","ප්‍රභාත් චින්තක මීගොඩගේ","","","Sinhala","Other",""
1248,"Thewul Sitha","තෙවුල් සිත","Isaac Bashewis Singer","අයිසැක් බැෂෙවිස් සිංගර්","Gamini Viyangoda","ගාමිණී වියන්ගොඩ","Sinhala","English Translation Novel",""
1247,"Kichera Giri Hisa Bindunu Sewaneli","කිචේරා ගිරි හිස බිඳුණු සෙවණැලි","Mykhailo Mykhailovych Kotsiubynsky","මයිකයිලෝ කොටියුබින්ස්කි","Pushpa Ranjan Wijesinghe","පුෂ්ප රන්ජන් විජේසිංහ","Sinhala","Russian Translation Novel",""
1246,"Duwili Dedunna","දූවිලි දේදුන්න","B.Wongar","බී. වොන්ගාර්","Malani Govinnage","මාලිනී ගෝවින්නගේ","Sinhala","English Translation Novel",""
