"id","name","Sinhala Name","author","translator","language","categoery"
"70","Harima Pudumai","","Roald Dahl","Chandana Mendis","Sinhala","English Translation Novel"
"71","Kokila Medura","","","Chandana Mendis","Sinhala","English Translation Novel"
"72","Thrasthawadihu","","","Jinadasa Lelwala","Sinhala","English Translation Novel"
"73","Welikatharaka Atharamanwa","","","K.G.Karunathilaka","Sinhala","English Translation Novel"
"74","Udyana Sambashanaya","","","K.G.Karunathilaka","Sinhala","English Translation Novel"
"75","Mayakari","","","Chandana Mendis","Sinhala","English Translation Novel"
"76","Bothale Bhoothaya","","","H Jayarathne","Sinhala","English Translation Novel"
"77","Momo","","Mikhail Endey","Karunawansa Somapala","Sinhala","English Translation Novel"
"78","Sinhalaya Sahodarayo","","Astrid Lindgren","Vijitha Gunarathna","Sinhala","English Translation Novel"
"79","Sundarawu Ma Wisu Mitiyawatha","","Richard Levlyn","Kulasiri Gunasekara","Sinhala","English Translation Novel"
"80","Kongo","","Michael Crichton","Gamini Kumara Vithana","Sinhala","English Translation Novel"
"81","Wismitha Wanantharaya","","Trevor La Brooy","Duglas B. Ranasinghe","Sinhala","English Translation Novel"
"82","Wismitha Wanadahana","","David Grann","G.A.Nalani","Sinhala","English Translation Novel"
"83","Mlechchayan Athara Siwmasak","","Herman Melville","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"84","Hudekala Minisa","","W.G.C.Norwood","Sujiwa Disanayaka","Sinhala","English Translation Novel"
"85","Kalki","","Gor Vidhal","Gamini Viyangoda","Sinhala","English Translation Novel"
"86","Jivathun Athara","","Piers Paul Read","Indrani Karunarathna","Sinhala","English Translation Novel"
"87","Sudu Kalu","","Harper Lee","Chithra.I.Perera","Sinhala","English Translation Novel"
"88","Beloved","","Toni Morrison","P.B.Jayasekara","Sinhala","English Translation Novel"
"89","Handana Muhuda","","Dalane Matthee","Anula de Silva","Sinhala","English Translation Novel"
"90","Sorba Nam Greekaya","","Nikos Kazantzakis","Saddatissa Wadigamangawa","Sinhala","English Translation Novel"
"91","Yakada Yugaya","","J.M.Coetze","Gamini Viyangoda","Sinhala","English Translation Novel"
"92","Spartcus","","Howard Fast","Sudath Bandara","Sinhala","English Translation Novel"
"93","Buruwa Mahathage Charithapadanaya","","Krishan Chandar","Gunathilaka Metiyagane","Sinhala","English Translation Novel"
"94","Sopeege Lokaya","","Jostein Gaarder","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"95","Nattal Geethaya","","Charles Dickens","Cyril C Perera","Sinhala","English Translation Novel"
"96","Robinson Kruso","","Daniel Defoe","Adwin Ranawaka","Sinhala","English Translation Novel"
"97","Kalu Heesaraya","","R.L. Stevenson","Suraweera Wickramasinghe","Sinhala","English Translation Novel"
"98","Ridi Asipatha","","Ian Serraillier","Senarathna Weerasinghe","Sinhala","English Translation Novel"
"99","Muhudubath Wu Selaruwakuge Kathawa","","Gabiriel Garcia Marquez","Piyal Jayarathna","Sinhala","English Translation Novel"
"100","Santhiyago nam Serisaranna","","Paulo Coelho","Chulananda Samaranayaka","Sinhala","English Translation Novel"
"101","Anduru Palingu Thala Medin","","Jostein Gaarder","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"102","Mage Pawulai Anek Sattui","","Gerald Durrell","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"103","Mas Maduwa","","Kurt Vonnegut","Chulananda Samaranayaka","Sinhala","English Translation Novel"
"104","Karumakkara Kathawak","","Gabiriel Garcia Marquez","Gamini Viyangoda","Sinhala","English Translation Novel"
"105","Siyak Wasaka Hudakalawa","","Gabiriel Garcia Marquez","Abe Dissanayaka","Sinhala","English Translation Novel"
"106","Govipola Andaraya","","George Orwell","Sumithra Rahubadda","Sinhala","English Translation Novel"
"107","Origon Weera Charikawa","","Rutgers Van Der Loeff","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"108","Jane Eyre","","Charlotte Bronte","D.M.Karunarathna","Sinhala","English Translation Novel"
"109","Jane Eyre","","Charlot Bronte","R.N.H.Perera","Sinhala","English Translation Novel"
"110","Gini Hal Gini Keli","","Willard Price","Wijayarathna Dolawatta","Sinhala","English Translation Novel"
"111","Kalayata Amathakawu Deshaya","","Edgar Rice Burroughs","Ananda Sellahewa","Sinhala","English Translation Novel"
"112","Amathakawu Desayaka Atharamanwa","","Edgar Rice Burroughs","Ananda Sellahewa","Sinhala","English Translation Novel"
"113","Lenwalasage Gothraya  1","","Jean M. Auel","Abaya Hewawasam","Sinhala","English Translation Novel"
"114","Lenwalasage Gothraya  2","","Jean M. Auel","Abaya Hewawasam","Sinhala","English Translation Novel"
"115","Robin Hood","","","David Karunarathna","Sinhala","English Translation Novel"
"116","Allan Kwartermange Weera Charikawa","","H. Rider Haggard","Chandana Mendis","Sinhala","English Translation Novel"
"117","Vijayagrahi konan","","Robert E. Howard","K.G.Karunathilaka","Sinhala","English Translation Novel"
"118","Vijayagrahi Konan / Makarage Horawa","","Robert E. Howard","Domonoc Mendis","Sinhala","English Translation Novel"
"119","Sendawe Sirakaruwa","","Anthony Hope Hawkins","S.Chandrasiri Dasanayaka","Sinhala","English Translation Novel"
"120","Hentsowe Roopat","","Anthony Hope Hawkins","S.Chandrasiri Dasanayaka","Sinhala","English Translation Novel"
"121","Masterman Redy","","Fredrick Meriat","K.G.Karunathilaka","Sinhala","English Translation Novel"
"122","Karnal saha Erendira","","Gabiriel Garcia Marquez","Janaka Inimankada","Sinhala","English Translation Novel"
"123","Piyapathak wan Jivithayak","","Milan Kundera","Gamini Wijethunga","Sinhala","English Translation Novel"
"124","Eva Luna","","Isabel Iyande","Gamini Viyangoda","Sinhala","English Translation Novel"
"125","Gringo Mahalla","","Carloa Fuentes","Pasan Kodikara","Sinhala","English Translation Novel"
"126","Seeya saha Munubura","","Maxim Gorki","Bandusena Gunasekara","Sinhala","English Translation Novel"
"127","Sangu Andaheraya","","Marie Majerowa","K.B.Sugathadasa","Sinhala","English Translation Novel"
"128","Lokaye Asawa","","H.Rider Haggard","S.chandrasiri Dasanayaka","Sinhala","English Translation Novel"
"129","Kung fu","","Arthur weilly","Senarathna Weerasinghe","Sinhala","English Translation Novel"
"130","Buruma Samaya","","George orwell","Ananda Sellahewa","Sinhala","English Translation Novel"
"131","Wanawasanaya","","James Vance Marshall","Upali kannangara","Sinhala","English Translation Novel"
"132","Anthima Mohoikan Gothrikaya","","James Penimor Cooper","Gunathilaka Nissanka","Sinhala","English Translation Novel"
"133","Samudda Yathikawa","","Khaled Hosseini","Ganga Niroshini Suduwelikanda","Sinhala","English Translation Novel"
"134","Re bowu Ikbithi","","K.A. Abbas","Sugathapala de Silva","Sinhala","English Translation Novel"
"135","Dampata Kathawa","","Alice Walker","Amali Boralugoda","Sinhala","English Translation Novel"
"136","1984","","George orwel","Ariyawansa Ranweera","Sinhala","English Translation Novel"
"137","Anunge le","","simone de Beauvoir","Gamini Viyangoda","Sinhala","English Translation Novel"
"138","Yuddaya ha Amma","","Necholas Gage","Anula de Silva","Sinhala","English Translation Novel"
"139","Ukusu Dadayama","","Jack Higgins","Indrani Karunarathna","Sinhala","English Translation Novel"
"140","Tom Mamage Kutiya","","Harriet Beecher Stowe","Justin Wijayawardana","Sinhala","English Translation Novel"
"141","Piyedra Ganga bada hinda Welapunemi","","Paulo Coelho","Piyal Jayarathna","Sinhala","English Translation Novel"
"142","Wanaraya","","Chu Cheng Eng","A.P.Gunarathna","Sinhala","English Translation Novel"
"143","Akrawe Athpitapatha","","Paulo Coelho","D.M.S.Ariyarathna","Sinhala","English Translation Novel"
"144","Nothradamaye Kuda","","Victor Hugo","Kumara Siriwardana","Sinhala","English Translation Novel"
"145","Mosad","","Michael Bar","Yasasiri Janaka Kumara","Sinhala","English Translation Novel"
"146","Solamange Geethaya","","Toni Morrison","","Sinhala","English Translation Novel"
"147","Wanarayange Tarzan","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"148","Tarzan Apasu Eyi","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"149","Tarzan ge Wanasiwpawo","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"150","Tarzan ge Puthraya","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"151","Tarzan ha Oparaye menik","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"152","Nodemunu Tarzan","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"153","Bihisunu Tarzan","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"154","Tarzan Ha Swarnamaya Sinhaya","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"155","Tarzan ha Kuhumbu Minissu","","Edgar Rice Burroughs","K.G.Karunathilaka","Sinhala","English Translation Novel"
"156","Tarzan ha Sathuru Sena","","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"157","Veera Vickramanvitha Tarzan","","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"158","Tarzan saha Atharamanwu Yathrikayo","","Edgar Rice Burroughs","Prabath MIrihagalla","Sinhala","English Translation Novel"
"159","Wanantharaye Adhipathy Tarzan","","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"160","Tarzan ha Mahar Rejina","","Edgar Rice Burroughs","Deemon Ananda","Sinhala","English Translation Novel"
"161","Tarzan saha Roma Soldaduwo","","Edgar Rice Burroughs","Nishani Dissanayaka","Sinhala","English Translation Novel"
"162","Tarzan saha Abirahas Lokaya","","Edgar Rice Burroughs","P.B.Senanayaka","Sinhala","English Translation Novel"
"163","Tarzanta Hamuwu Unmaththakaya","","Edgar Rice Burroughs","D.M.Karunarathna","Sinhala","English Translation Novel"
"164","Sherlock Holms -Sunaka sapaya","ශේ‍ර්ලොක් හෝම්ස් - සුනඛ සාපය","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"165","Sherlock Holms -Rathuwatha Hendikatha","ශේ‍ර්ලොක් හෝම්ස් - රතුවාත හෙඳිකතා","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"166","Sherlock Holms - Bihisunu Nimnaya","ශේ‍ර්ලොක් හෝම්ස් - බිහිසුணු නිම්නය","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"167","Sherlock Holms - Le Salakuna","ශේ‍ර්ලොක් හෝම්ස් - ලේ සලකුණු","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"168","Sherlock Holms - Sherlock Holms Apasu Eyi","ශේ‍ර්ලොක් හෝම්ස් ආපසු එයි","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"169","Sherlock Holms - Bayanaka Miniha","ශේ‍ර්ලොක් හෝම්ස් - භයානක මිනිහා","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"170","Sherlock Holms - Lohitha Pareeksanaya","ශේ‍ར්ලොක් හෝම්ස් - ලෝහිත පරීක්ෂාව","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"171","Sherlock Holms - Kalu Wyagraya","ශේ‍ර්ලොක් හෝම්ස් - කළු ව්‍යාඝ‍්‍රය","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"172","Sherlock Holms - Antharaya Adawiyaka","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"173","Sherlock Holms - Bishanayak","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"174","Sherlock Holms - Weradunu Dadayama","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"175","Sherlock Holms - Indra nila Manikya","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"176","Sherlock Holms - Adbutha Aganthukaya","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"177","Sherlock Holms - Samudure Satana","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"178","Sherlock Holms - Gindara Samaga Sellam","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"179","Sherlock Holms - Russiyanu Ottykaraya","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"180","Beskarwilhi Dadaballa","","Sir Arthur Conan Doyle","K.G.Karunathilaka","Sinhala","English Translation Novel"
"181","Sherlock Holmsge Mathaka Satahan","","Sir Arthur Conan Doyle","N.A.D.Gunathilaka","Sinhala","English Translation Novel"
"182","Maraka Satana","","","Chandana Mendis","Sinhala","English Translation Novel"
"183","Pradipagaraye Wickramaya","","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"184","Ejypthu shapaya","","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"185","Surupi Nalangana","","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"186","Wedi Handa","","Sherlock Holmes","Chandana Mendis","Sinhala","English Translation Novel"
"187","Getakapana Puncha","","Leon Garfield","Chandana Mendis","Sinhala","English Translation Novel"
"188","Sengawunu lowe Sawariyak","","Sir Arthur Conan Doyle","Chandana Mendis","Sinhala","English Translation Novel"
"189","Raktha Manikyaye Abhirahasa","","Anthony Reed","Chandana Mendis","Sinhala","English Translation Novel"
"190","Rahas Pariksakaya Athurudan","","Anthony Reed","Chandana Mendis","Sinhala","English Translation Novel"
"191","Lokaya Wate Asu Dawasakin","","Jules Verne","Chandana Mendis","Sinhala","English Translation Novel"
"192","Bihisunu Gamanak","","Robert Louis Stevenson","Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"193","Anthima Kemetta","","","Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"194","Marana Thunak","","","Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"195","Adisi Hasthaya","","","Lasitha Ravin Umagiliya","Sinhala","English Translation Novel"
"196","Bhishanye horawa","","Lasitha Ravin Umagiliya","","Sinhala","English Translation Novel"
"197","Nihanda shakshiya","","Lasitha Ravin Umagiliya","","Sinhala","English Translation Novel"
"198","Ethulwima Tahanam","","Lasitha Ravin Umagiliya","","Sinhala","English Translation Novel"
"199","Manimekala","","Lasitha Ravin Umagiliya","","Sinhala","English Translation Novel"
"200","Volga Dupatha","","Lasitha Ravin Umagiliya","","Sinhala","English Translation Novel"
"201","Wurkayan Athara Nagnawa","","Bruno Apitz","Cyril C Perera","Sinhala","English Translation Novel"
"202","Pem Wiyaruwa","","Emily Bronte","R.P.Wijesinghe","Sinhala","English Translation Novel"
"203","Devid Copperfield","","Charles Dickens","M.M.Piawardhana","Sinhala","English Translation Novel"
"204","Bedi Wenwu Awadiya","","Anton Donchev","Kumara Perera","Sinhala","English Translation Novel"
"205","Awasana Rathriya","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"206","Paligenime Meheyuma","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"207","Naga Meheyuma","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"208","Moscow Peraliya","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"209","Sirakaruwa saha Ottukaruwa","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"210","Maha sayura Ginigani","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"211","Yuda Ballo","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"212","Bhutha yanaya","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"213","Satharawana Waganthiya","","Frederick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"214","Dewa Hasthaya","","Frederick forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"215","Rewatilikaruwa","","Federick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"216","Haskama","","Federick Forsyth","Ananda Sellahewa","Sinhala","English Translation Novel"
"217","Sengawunu Lowen Gelawunu Sagayo","","Mitchell Zuckoff","Premachandra Alwis","Sinhala","English Translation Novel"
"218","Kebali","","Binjamin Wilkomirski","Ravindra Vijewardana","Sinhala","English Translation Novel"
"219","Pompei Nuwara duk geethaya","","Edward Lightin","Prabath MIrihagalla","Sinhala","English Translation Novel"
"220","Kanyawa ha Ahiguntikaya","","D.H. Lawrence","Sudath Rohan","Sinhala","English Translation Novel"
"221","Adarabara Aryawa","","D.H. Lawrence","Wimaladasa Samarasinghe","Sinhala","English Translation Novel"
"222","Sulthana","","Jeen p sesson","Saman Pushpa Gunasekara","Sinhala","English Translation Novel"
"223","Thelma","","Marrie Correlie","Ayodhya Karunarathna","Sinhala","English Translation Novel"
"224","Kwai Gange Palama","","Pierre Bouille","Abaya Hewawasam","Sinhala","English Translation Novel"
"225","Vietnam Uman Satana","","Tom mangold","Sujiwa Disanayaka","Sinhala","English Translation Novel"
"226","Kanden negunu Gindara","","Omar Cabezas","Sitijaja madya Sansadaya","Sinhala","English Translation Novel"
"227","Mama Yuda Charapurusayek wuyemi","","Perter Dourlein","Domonoc Mendis","Sinhala","English Translation Novel"
"228","Porakaye Satahan","","Julius Fuchik","Sitijaja madya Sansadaya","Sinhala","English Translation Novel"
"229","Gangawo Ma winiwida geluha","","Ernesto Che Guevara","Daya Pathirana","Sinhala","English Translation Novel"
"230","Che","","","Malani Govinnage","Sinhala","English Translation Novel"
"231","Hitlarge Sirakaruwek","","Stephan Lorent","Senani Darmarathna","Sinhala","English Translation Novel"
"232","Maranaye Doratuwa","","Miklos Nyiszli","Ranjith Kuruppu","Sinhala","English Translation Novel"
"233","Gini Kurulla","","Wilber Smith","Susantha Kodithuwakku","Sinhala","English Translation Novel"
"234","Abhirahas Udyanaya","","Frances Hodgson Burneit","Manel Jayanthi Gunasekara","Sinhala","English Translation Novel"
"235","Boattu sawariya","","Jerome K Jerome","Chandra Anagirathne","Sinhala","English Translation Novel"
"236","Martin Pig","","Kevin Brooks","Ganga Niroshani Suduwelikanda","Sinhala","English Translation Novel"
"237","Smith","","Leon Garfield","Chitra I perera","Sinhala","English Translation Novel"
"238","Sudu Hendagath Kanthawa 1","","Wilkie Collins","Chandra Anagirathne","Sinhala","English Translation Novel"
"239","Sudu Hendagath Kanthawa 2","","Wilkie Collins","Chandra Anagirathne","Sinhala","English Translation Novel"
"240","Hima Bima","","Willard Price","Wijayarathna Dolawatta","Sinhala","English Translation Novel"
"241","Samuduru gembare Geethaya","","Witi Ihimaera","Swarnakanthi Rajapaksha","Sinhala","English Translation Novel"
"242","Captains Courageous","","Rudyard Kipling","J.C.Saluwadana","Sinhala","English Translation Novel"
"243","Samudura meda ATharaman wuuwo","","Jules verne","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"244","Thalmasaku ha Mithuruwa","","Pierre Bouille","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"245","Dakunu Muhuda haraha","","Herman Melville","Chinthika Prabasini Gunasekara","Sinhala","English Translation Novel"
"246","Hima Kathara","","Jules verne","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"247","Antatika Tharanaya","","Alfred Lansing","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"248","Shacklton ge Antatik charikawa","","Alfred Lansing","Rani Senarathna Rajapaksha","Sinhala","English Translation Novel"
"249","Muhudu Wurkaya","","Jack london","Dhanapala Gunasekara","Sinhala","English Translation Novel"
"250","Wanapetha Andagasai","","Jack london","Ariyawansha Ranaweera","Sinhala","English Translation Novel"
"251","Wurkayange Adaviya","","Jack london","Ganga Niroshani Suduwelikanda","Sinhala","English Translation Novel"
"252","Wulfan","","WittlyStraiber","Upali Kannangara","Sinhala","English Translation Novel"
"253","Holman Hotalaya","","Wilkie Collins","Arthur Fernando","Sinhala","English Translation Novel"
"254","Situwara Drakula","","Bram Stoker","Channa Bandara Wijekoon","Sinhala","English Translation Novel"
"255","Kandukaraya Donkara duni","","khaled Hosseini","Ganga Niroshini Suduwelikanda","Sinhala","English Translation Novel"
"256","Psycho","","Robert bloch","Senarathne weerasinghe","Sinhala","English Translation Novel"
